Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Hour,Day_of_Week,Month,Amount_Ratio,Speed_Amount_Ratio,Speed_X_Amount
Van,FTG-099-FTD-321,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",55,Fraud,2,1,1,1.1666666666666667,0.39285714285714285,7700
Sedan,FTG-120-TTU-098,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,Not Fraud,7,2,1,1.0,0.5,12800
SUV,FTG-121-BTC-765,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",68,Fraud,12,3,1,1.8,0.37777777777777777,12240
Bus ,FTG-122-XRW-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,Not Fraud,15,4,1,1.0,0.2571428571428571,31500
Car,FTG-123-NMK-101,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",48,Fraud,21,5,1,1.3333333333333333,0.4,5760
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",77,Not Fraud,3,6,1,inf,inf,0
Truck,FTG-125-VTN-543,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",63,Fraud,7,0,1,2.9166666666666665,0.18,22050
Van,FTG-126-PTM-210,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,Not Fraud,11,1,1,1.0,0.6214285714285714,12180
Sedan,FTG-127-HJT-987,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",52,Fraud,16,2,2,1.6,0.325,8320
SUV,FTG-128-WSX-652,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",95,Fraud,21,3,2,1.5,0.5277777777777778,17100
Bus ,FTG-129-QQZ-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",73,Not Fraud,3,4,2,1.0,0.20857142857142857,25550
Car,FTG-130-LOO-098,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",82,Not Fraud,8,5,2,1.0,0.6833333333333333,9840
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",57,Not Fraud,13,6,2,inf,inf,0
Truck,FTG-132-IOC-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,Not Fraud,18,0,2,1.0,0.2742857142857143,33600
Van,FTG-033-JIP-109,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",66,Fraud,23,1,2,1.4,0.4714285714285714,9240
Sedan,FTG-134-RPV-876,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",89,Not Fraud,5,2,2,1.0,0.55625,14240
SUV,FTG-135-EPC-543,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",51,Fraud,9,3,2,1.5,0.2833333333333333,9180
Bus ,FTG-136-OPM-210,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",76,Not Fraud,14,4,2,1.0,0.21714285714285714,26600
Car,FTG-137-NJI-9879,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",61,Fraud,17,5,2,inf,0.5083333333333333,7320
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",85,Not Fraud,23,6,2,inf,inf,0
Truck,FTG-029-UUY-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",74,Not Fraud,4,0,2,1.0,0.21142857142857144,25900
Van,FTG-140-POU-09P,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",93,Fraud,8,1,2,1.5555555555555556,0.6642857142857143,13020
Sedan,FTG-141-ZXC-769,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",49,Fraud,13,2,2,1.3333333333333333,0.30625,7840
SUV,FTG-142-VBN-439,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",83,Not Fraud,16,3,2,1.0,0.46111111111111114,14940
Bus ,FTG-143-QWE-107,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,Fraud,22,4,2,3.888888888888889,0.16857142857142857,20650
Car,FTG-034-MKH-875,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",91,Fraud,4,5,2,1.3333333333333333,0.7583333333333333,10920
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",71,Not Fraud,8,6,2,inf,inf,0
Truck,FTG-036-POI-217,C-103,Regular,Large,350,140,"13.059816123454882, 77.77068662374292",86,Fraud,13,0,2,2.5,0.24571428571428572,30100
Van,FTG-347-XCV-985,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",56,Fraud,18,1,2,1.5555555555555556,0.4,7840
Sedan,FTG-048-JKL-653,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,Not Fraud,22,2,2,1.0,0.49375,12640
SUV,FTG-049-RFD-322,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",64,Not Fraud,4,3,2,1.0,0.35555555555555557,11520
Bus ,FTG-040-HRT-098,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",97,Fraud,8,4,2,2.9166666666666665,0.27714285714285714,33950
Car,FTG-041-YUI-764,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",69,Not Fraud,13,5,2,1.0,0.575,8280
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",94,Not Fraud,18,6,2,inf,inf,0
Truck,FTG-043-NBH-106,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",54,Fraud,23,0,2,3.5,0.15428571428571428,18900
Van,FTG-044-KJH-875,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",81,Not Fraud,5,1,2,1.0,0.5785714285714286,11340
Sedan,FTG-053-EDC-545,A-101,Express,Medium,160,90,"13.059816123454882, 77.77068662374292",65,Fraud,9,2,3,1.7777777777777777,0.40625,10400
SUV,FTG-046-LMK-212,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,Not Fraud,14,3,3,1.0,0.5111111111111111,16560
Bus ,FTG-057-PRN-887,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",50,Not Fraud,18,4,3,1.0,0.14285714285714285,17500
Car,FTG-558-VFR-652,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",75,Fraud,23,5,3,1.3333333333333333,0.625,9000
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",58,Not Fraud,3,6,3,inf,inf,0
Truck,FTG-060-QAZ-092,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",89,Fraud,7,0,3,3.888888888888889,0.2542857142857143,31150
Van,FTG-061-POU-764,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",44,Fraud,12,1,3,1.5555555555555556,0.3142857142857143,6160
Sedan,FTG-052-NJH-434,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",78,Not Fraud,16,2,3,1.0,0.4875,12480
SUV,FTG-053-ZXC-104,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",67,Not Fraud,21,3,3,1.0,0.37222222222222223,12060
Bus ,FTG-054-OKM-874,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",95,Not Fraud,3,4,3,1.0,0.2714285714285714,33250
Car,FTG-055-LKJ-544,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",55,Fraud,8,5,3,1.3333333333333333,0.4583333333333333,6600
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",80,Not Fraud,13,6,3,inf,inf,0
Truck,FTG-077-MKF-984,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,Not Fraud,18,0,3,1.0,0.17714285714285713,21700
Van,FTG-068-DCV-653,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",87,Fraud,23,1,3,1.5555555555555556,0.6214285714285714,12180
Sedan,FTG-059-NBH-323,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",47,Not Fraud,5,2,3,1.0,0.29375,7520
SUV,FTG-060-POI-093,B-102,Regular,Large,180,100,"13.059816123454882, 77.77068662374292",73,Fraud,10,3,3,1.8,0.40555555555555556,13140
Bus ,FTG-061-RSX-765,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",68,Not Fraud,14,4,3,1.0,0.19428571428571428,23800
Car,FTG-062-QAZ-431,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",91,Not Fraud,19,5,3,1.0,0.7583333333333333,10920
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",53,Not Fraud,0,6,3,inf,inf,0
Truck,FTG-064-VFR-873,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",82,Fraud,6,0,3,3.5,0.2342857142857143,28700
Van,FTG-065-YUI-545,B-102,Express,Medium,140,110,"13.059816123454882, 77.77068662374292",56,Fraud,11,1,3,1.2727272727272727,0.4,7840
Sedan,FTG-066-CDE-213,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",84,Fraud,15,2,3,1.7777777777777777,0.525,13440
SUV,FTG-067-LMK-983,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",69,Not Fraud,21,3,3,1.0,0.38333333333333336,12420
Bus ,FTG-068-NJH-655,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",94,Not Fraud,2,4,3,1.0,0.26857142857142857,32900
Car,FTG-069-RFD-326,A-101,Express,Small,120,100,"13.059816123454882, 77.77068662374292",49,Fraud,6,5,3,1.2,0.4083333333333333,5880
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",76,Not Fraud,11,6,3,inf,inf,0
Truck,FTG-083-BVC-766,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,Not Fraud,16,0,3,1.0,0.18,22050
Van,FTG-082-XCV-437,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",88,Fraud,21,1,3,1.1666666666666667,0.6285714285714286,12320
Sedan,FTG-073-LKJ-101,A-101,Express,Medium,160,60,"13.059816123454882, 77.77068662374292",74,Fraud,2,2,3,2.6666666666666665,0.4625,11840
SUV,FTG-074-POU-871,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",96,Fraud,7,3,3,2.0,0.5333333333333333,17280
Bus ,FTG-055-ZWC-543,C-103,Express,Large,350,140,"13.059816123454882, 77.77068662374292",61,Fraud,12,4,3,2.5,0.1742857142857143,21350
Car,FTG-066-PLM-216,A-101,Regular,Small,120,60,"13.059816123454882, 77.77068662374292",85,Fraud,16,5,4,2.0,0.7083333333333334,10200
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,Not Fraud,22,6,4,inf,inf,0
Truck,FTG-058-WSX-656,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,Not Fraud,3,0,4,1.0,0.2257142857142857,27650
Van,FTG-099-QAZ-322,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",66,Not Fraud,7,1,4,1.0,0.4714285714285714,9240
Sedan,FTG-050-RFD-091,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",90,Not Fraud,12,2,4,1.0,0.5625,14400
SUV,FTG-081-YUI-764,B-102,Express,Large,180,140,"13.059816123454882, 77.77068662374292",48,Fraud,15,3,4,1.2857142857142858,0.26666666666666666,8640
Bus ,FTG-082-BVC-431,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",77,Fraud,21,4,4,3.888888888888889,0.22,26950
Car,FTG-063-NBH-102,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",60,Fraud,2,5,4,1.3333333333333333,0.5,7200
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",83,Not Fraud,6,6,4,inf,inf,0
Truck,FTG-055-EDC-541,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",71,Not Fraud,11,0,4,1.0,0.20285714285714285,24850
Van,FTG-095-LMK-211,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",97,Fraud,15,1,4,1.5555555555555556,0.6928571428571428,13580
Sedan,FTG-077-PLN-983,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",46,Not Fraud,20,2,4,1.0,0.2875,7360
SUV,FTG-088-VFR-652,B-102,Regular,Large,180,0,"13.059816123454882, 77.77068662374292",81,Fraud,1,3,4,inf,0.45,14580
Bus ,FTG-079-RSX-321,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",64,Fraud,6,4,4,3.5,0.18285714285714286,22400
Car,FTG-170-QAZ-091,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",93,Not Fraud,11,5,4,1.0,0.775,11160
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",57,Not Fraud,15,6,4,inf,inf,0
Truck,FTG-121-ABC-614,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",86,Not Fraud,21,0,4,1.0,0.24571428571428572,30100
Van,FTG-131-PQR-329,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",55,Fraud,3,1,4,1.5555555555555556,0.39285714285714285,7700
Sedan,FTG-114-DEF-092,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",82,Not Fraud,7,2,4,1.0,0.5125,13120
SUV,FTG-125-LMN-669,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",63,Fraud,12,3,4,1.8,0.35,11340
Bus ,FTG-106-GHI-331,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,Not Fraud,16,4,4,1.0,0.2571428571428571,31500
Car,FTG-107-JKL-000,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",48,Not Fraud,22,5,4,1.0,0.4,5760
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",76,Not Fraud,4,6,4,inf,inf,0
Truck,FTG-109-RST-448,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",58,Fraud,8,0,4,3.5,0.1657142857142857,20300
Van,FTG-110-MNO-118,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,Not Fraud,13,1,4,1.0,0.6214285714285714,12180
Sedan,FTG-111-QWE-889,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",67,Fraud,18,2,4,1.6,0.41875,10720
SUV,FTG-112-ZXC-455,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",94,Fraud,23,3,4,2.0,0.5222222222222223,16920
Bus ,FTG-113-PWI-323,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",71,Fraud,8,6,1,3.5,0.20285714285714285,24850
Car,FTG-114-KJH-087,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",89,Not Fraud,12,0,1,1.0,0.7416666666666667,10680
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,Not Fraud,16,1,1,inf,inf,0
Truck,FTG-116-NBH-338,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,Not Fraud,22,2,1,1.0,0.2257142857142857,27650
Van,FTG-117-LKI-007,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",66,Fraud,5,3,1,1.1666666666666667,0.4714285714285714,9240
Sedan,FTG-118-UYT-884,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",95,Not Fraud,11,4,1,1.0,0.59375,15200
SUV,FTG-119-FRD-338,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",44,Fraud,14,5,1,1.5,0.24444444444444444,7920
Bus ,FTG-120-TYU-118,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",78,Not Fraud,18,6,1,1.0,0.22285714285714286,27300
Car,FTG-121-BVC-989,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",61,Fraud,2,0,1,1.3333333333333333,0.5083333333333333,7320
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",85,Not Fraud,6,1,1,inf,inf,0
Truck,FTG-123-NMK-333,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",49,Not Fraud,10,2,1,1.0,0.14,17150
Van,FTG-124-CDE-792,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",74,Fraud,15,3,1,1.5555555555555556,0.5285714285714286,10360
Sedan,FTG-125-VBN-752,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",69,Fraud,20,4,1,1.3333333333333333,0.43125,11040
SUV,FTG-126-PLM-410,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,Not Fraud,1,5,1,1.0,0.5111111111111111,16560
Bus ,FTG-127-HGT-00W,C-103,Express,Large,350,140,"13.059816123454882, 77.77068662374292",57,Fraud,7,6,1,2.5,0.16285714285714287,19950
Car,FTG-128-WSX-855,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",83,Not Fraud,12,0,1,1.0,0.6916666666666667,9960
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",68,Not Fraud,17,1,1,inf,inf,0
Truck,FTG-130-LPO-013,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,Not Fraud,22,2,1,1.0,0.2742857142857143,33600
Van,FTG-131-ZAS-888,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",46,Fraud,4,3,1,1.5555555555555556,0.32857142857142857,6440
Sedan,FTG-132-IXC-452,A-101,Regular,Medium,160,120,"13.059816123454882, 77.77068662374292",81,Fraud,8,4,1,1.3333333333333333,0.50625,12960
SUV,FTG-133-JOP-337,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",60,Fraud,13,5,1,1.8,0.3333333333333333,10800
Bus ,FTG-134-RWV-098,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",88,Fraud,16,6,1,1.9444444444444444,0.25142857142857145,30800
Car,FTG-125-EDC-768,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",53,Fraud,22,0,1,inf,0.44166666666666665,6360
Motorcycle,FTG-000-QAZ-210,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",77,Not Fraud,2,1,1,inf,inf,0
Truck,FTG-137-NJI-102,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",64,Not Fraud,7,2,1,1.0,0.18285714285714286,22400
Van,FTG-128-LKJ-872,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",91,Not Fraud,12,3,1,1.0,0.65,12740
Sedan,FTG-129-UTY-542,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",50,Not Fraud,15,4,1,1.0,0.3125,8000
SUV,FTG-141-POU-211,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",75,Not Fraud,21,5,1,1.0,0.4166666666666667,13500
Bus ,FTG-121-ZXC-981,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,Fraud,3,6,1,3.888888888888889,0.16857142857142857,20650
Car,FTG-122-VBN-659,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",84,Fraud,7,0,1,1.3333333333333333,0.7,10080
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",66,Not Fraud,11,1,1,inf,inf,0
Truck,FTG-124-MKH-099,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",93,Not Fraud,16,2,2,1.0,0.26571428571428574,32550
Van,FTG-125-DCF-768,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",45,Fraud,21,3,2,1.4,0.32142857142857145,6300
Sedan,FTG-126-POI-430,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,Not Fraud,3,4,2,1.0,0.5,12800
SUV,FTG-127-XCV-103,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",62,Not Fraud,8,5,2,1.0,0.34444444444444444,11160
Bus ,FTG-128-JKL-871,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",86,Fraud,13,6,2,1.9444444444444444,0.24571428571428572,30100
Car,FTG-229-RFD-540,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",51,Not Fraud,18,0,2,1.0,0.425,6120
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",73,Not Fraud,23,1,2,inf,inf,0
Truck,FTG-121-YUI-986,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",56,Fraud,5,2,2,3.5,0.16,19600
Van,FTG-122-BVC-653,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",82,Not Fraud,9,3,2,1.0,0.5857142857142857,11480
Sedan,FTG-123-NBH-323,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",70,Fraud,14,4,2,1.6,0.4375,11200
SUV,FTG-144-KJH-092,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",97,Not Fraud,17,5,2,1.0,0.5388888888888889,17460
Bus ,FTG-145-EDC-742,C-103,Express,Large,350,180,"13.059816123454882, 77.77068662374292",47,Fraud,23,6,2,1.9444444444444444,0.13428571428571429,16450
Car,FTG-156-LMK-421,A-101,Regular,Small,120,180,"13.059816123454882, 77.77068662374292",84,Fraud,4,0,2,0.6666666666666666,0.7,10080
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",65,Not Fraud,8,1,2,inf,inf,0
Truck,FTG-158-VFR-862,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",92,Fraud,13,2,2,1.9444444444444444,0.26285714285714284,32200
Van,FTG-159-WSX-441,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",53,Fraud,16,3,2,1.1666666666666667,0.37857142857142856,7420
Sedan,FTG-160-QAZ-212,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,Not Fraud,22,4,2,1.0,0.49375,12640
SUV,FTG-161-POU-998,B-102,Express,Large,180,160,"13.059816123454882, 77.77068662374292",61,Fraud,4,5,2,1.125,0.3388888888888889,10980
Bus ,FTG-162-NJH-552,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",89,Fraud,8,6,2,1.9444444444444444,0.2542857142857143,31150
Car,FTG-133-ZXC-322,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",44,Not Fraud,13,0,2,1.0,0.36666666666666664,5280
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",78,Not Fraud,18,1,2,inf,inf,0
Truck,FTG-135-LKJ-764,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",67,Fraud,22,2,2,3.5,0.19142857142857142,23450
Van,FTG-136-HGT-431,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",95,Fraud,4,3,2,1.5555555555555556,0.6785714285714286,13300
Sedan,FTG-166-MKF-101,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",55,Not Fraud,8,4,2,1.0,0.34375,8800
SUV,FTG-168-DCV-871,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",80,Fraud,13,5,2,1.5,0.4444444444444444,14400
Bus ,FTG-169-NBH-542,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,Not Fraud,18,6,2,1.0,0.17714285714285713,21700
Car,FTG-140-POI-211,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",87,Not Fraud,23,0,2,1.0,0.725,10440
Motorcycle,FTG-000-QAZ-210,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",47,Not Fraud,5,1,2,inf,inf,0
Truck,FTG-142-QAZ-651,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",73,Fraud,9,2,3,2.9166666666666665,0.20857142857142857,25550
Van,FTG-143-KJH-322,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",68,Fraud,14,3,3,1.4,0.4857142857142857,9520
Sedan,FTG-144-VFR-092,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",91,Fraud,18,4,3,1.7777777777777777,0.56875,14560
SUV,FTG-145-YUI-764,B-102,Express,Large,180,90,"13.059816123454882, 77.77068662374292",52,Fraud,23,5,3,2.0,0.28888888888888886,9360
